bom_no,item_code,item_name,qty,uom,scrap_pct,note
BOM-NGCS-00007-001,BTP-00005,Cuộn NGCS Hồng - Xanh,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00007-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00007-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00008-001,BTP-00004,Cuộn NGCS Đỏ - Tím,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00008-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00008-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00009-001,BTP-00005,Cuộn NGCS Hồng - Xanh,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00009-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00009-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00010-001,BTP-00004,Cuộn NGCS Đỏ - Tím,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00010-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00010-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00011-001,BTP-00004,Cuộn NGCS Đỏ - Tím,389.5,m,2.5,Bước cắt dao 380.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00011-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
